Packet drops detected:
At index 12204 (Timestamp: 20240605 09:41:49), Delay: 2.0 seconds
At index 12358 (Timestamp: 20240605 09:44:24), Delay: 2.0 seconds
At index 12587 (Timestamp: 20240605 09:48:14), Delay: 2.0 seconds
At index 12719 (Timestamp: 20240605 09:50:27), Delay: 2.0 seconds
At index 13053 (Timestamp: 20240605 09:56:02), Delay: 2.0 seconds
At index 13457 (Timestamp: 20240605 10:02:47), Delay: 2.0 seconds
At index 13660 (Timestamp: 20240605 10:06:11), Delay: 2.0 seconds
At index 13717 (Timestamp: 20240605 10:07:09), Delay: 2.0 seconds
At index 13984 (Timestamp: 20240605 10:11:37), Delay: 2.0 seconds
At index 14277 (Timestamp: 20240605 10:16:31), Delay: 2.0 seconds
At index 14439 (Timestamp: 20240605 10:19:14), Delay: 2.0 seconds
At index 14757 (Timestamp: 20240605 10:24:33), Delay: 2.0 seconds
At index 14765 (Timestamp: 20240605 10:24:42), Delay: 2.0 seconds
At index 15100 (Timestamp: 20240605 10:30:18), Delay: 2.0 seconds
At index 15668 (Timestamp: 20240605 10:39:47), Delay: 2.0 seconds
At index 16155 (Timestamp: 20240605 10:47:55), Delay: 2.0 seconds
At index 16459 (Timestamp: 20240605 10:53:00), Delay: 2.0 seconds
At index 16685 (Timestamp: 20240605 10:56:48), Delay: 3.0 seconds
At index 16867 (Timestamp: 20240605 10:59:52), Delay: 3.0 seconds
At index 16965 (Timestamp: 20240605 11:01:31), Delay: 2.0 seconds
At index 17203 (Timestamp: 20240605 11:05:30), Delay: 2.0 seconds
At index 17517 (Timestamp: 20240605 11:10:45), Delay: 2.0 seconds
At index 17636 (Timestamp: 20240605 11:12:45), Delay: 2.0 seconds
At index 17744 (Timestamp: 20240605 11:14:34), Delay: 2.0 seconds
At index 17804 (Timestamp: 20240605 11:15:35), Delay: 2.0 seconds
At index 17922 (Timestamp: 20240605 11:17:35), Delay: 3.0 seconds
At index 18067 (Timestamp: 20240605 11:20:01), Delay: 2.0 seconds
At index 18091 (Timestamp: 20240605 11:20:26), Delay: 2.0 seconds
At index 18136 (Timestamp: 20240605 11:21:12), Delay: 2.0 seconds
At index 18251 (Timestamp: 20240605 11:23:08), Delay: 2.0 seconds
At index 18306 (Timestamp: 20240605 11:24:04), Delay: 2.0 seconds
At index 18420 (Timestamp: 20240605 11:25:59), Delay: 2.0 seconds
At index 18466 (Timestamp: 20240605 11:26:46), Delay: 2.0 seconds
At index 18633 (Timestamp: 20240605 11:29:34), Delay: 2.0 seconds
At index 18676 (Timestamp: 20240605 11:30:18), Delay: 2.0 seconds
At index 18885 (Timestamp: 20240605 11:33:48), Delay: 2.0 seconds
At index 19121 (Timestamp: 20240605 11:37:45), Delay: 2.0 seconds
At index 19179 (Timestamp: 20240605 11:38:44), Delay: 2.0 seconds
At index 19316 (Timestamp: 20240605 11:41:02), Delay: 2.0 seconds
At index 19526 (Timestamp: 20240605 11:44:33), Delay: 2.0 seconds
At index 19635 (Timestamp: 20240605 11:46:23), Delay: 2.0 seconds
At index 19687 (Timestamp: 20240605 11:47:16), Delay: 2.0 seconds
At index 19795 (Timestamp: 20240605 11:49:05), Delay: 2.0 seconds
At index 19844 (Timestamp: 20240605 11:49:55), Delay: 2.0 seconds
At index 19946 (Timestamp: 20240605 11:51:38), Delay: 2.0 seconds
At index 20165 (Timestamp: 20240605 11:55:18), Delay: 2.0 seconds
At index 20328 (Timestamp: 20240605 11:58:02), Delay: 2.0 seconds
At index 20480 (Timestamp: 20240605 12:00:35), Delay: 2.0 seconds
At index 20594 (Timestamp: 20240605 12:02:30), Delay: 2.0 seconds
At index 20610 (Timestamp: 20240605 12:02:47), Delay: 2.0 seconds
At index 20906 (Timestamp: 20240605 12:07:44), Delay: 2.0 seconds
At index 21081 (Timestamp: 20240605 12:10:40), Delay: 2.0 seconds
At index 21244 (Timestamp: 20240605 12:13:24), Delay: 2.0 seconds
At index 21306 (Timestamp: 20240605 12:14:28), Delay: 3.0 seconds
At index 21449 (Timestamp: 20240605 12:16:52), Delay: 2.0 seconds
At index 21866 (Timestamp: 20240605 12:23:50), Delay: 2.0 seconds
At index 22127 (Timestamp: 20240605 12:28:12), Delay: 2.0 seconds
At index 22176 (Timestamp: 20240605 12:29:02), Delay: 2.0 seconds
At index 22470 (Timestamp: 20240605 12:33:57), Delay: 2.0 seconds
At index 22635 (Timestamp: 20240605 12:36:43), Delay: 2.0 seconds
At index 22652 (Timestamp: 20240605 12:37:02), Delay: 3.0 seconds
At index 22673 (Timestamp: 20240605 12:37:24), Delay: 2.0 seconds
